u-r color,Mr luminosity,log10density,redshift,velocity of dispersion of host cluster (-99 if not in a cluster)
1.667,-19.16,0.05309,0.03815,902.6
2.368,-21.41,0.6278,0.07922,-99
2.281,-20.36,0.4936,0.03757,902.6
1.483,-20.03,-0.4398,0.06954,-99
2.271,-19.99,0.3604,0.05916,-99
0.7661,-19.5,0.01126,0.07368,-99
1.377,-20.32,0.4482,0.03975,902.6
2.506,-21.44,0.6274,0.0379,902.6
2.097,-20.22,0.7326,0.07422,-99
1.339,-20.76,-0.6675,0.06625,-99
2.007,-18.55,0.02858,0.03763,902.6
1.405,-19.8,0.1888,0.0516,-99
2.296,-20.5,0.7899,0.07252,-99
1.928,-19.14,0.4102,0.03751,902.6
1.801,-20.06,0.5672,0.07277,-99
2.183,-20.64,0.1518,0.07961,-99
2.466,-20.61,-0.2411,0.07354,-99
1.552,-19.89,-0.5553,0.06718,-99
1.391,-20.01,-0.405,0.06675,-99
1.273,-20.38,-0.5461,0.07703,-99
2.364,-20.7,-0.1176,0.07233,-99
1.447,-20.53,-0.387,0.07637,-99
1.43,-20.04,0.2442,0.07187,-99
2.197,-20.62,1.516,0.05843,-99
1.423,-19.58,1.246,0.05979,-99
1.964,-20.86,1.505,0.05924,-99
2.31,-20.51,1.479,0.05957,-99
1.256,-20.19,-0.7784,0.04993,-99
2.396,-21.03,-0.3857,0.06116,-99
1.708,-21.78,-0.5058,0.06389,-99
1.405,-20.12,-0.0316,0.05788,-99
1.505,-20.13,-0.2904,0.03759,902.6
1.534,-19.9,-0.2915,0.06399,-99
1.46,-20.04,-0.8586,0.05414,-99
1.403,-20.42,-0.08614,0.05902,-99
1.529,-20.01,0.3484,0.06122,-99
2.24,-20.9,-0.3076,0.059,-99
1.314,-18.89,-0.1162,0.03793,902.6
1.254,-19.14,-0.7723,0.04985,-99
1.264,-20.73,-0.3025,0.03786,902.6
2.394,-21.34,-0.4433,0.06441,-99
2.294,-20.53,-0.4836,0.06304,-99
2.38,-21.44,-0.4419,0.03777,902.6
1.474,-21.12,-0.6156,0.07694,-99
0.9201,-19.28,-0.7519,0.0542,-99
2.161,-21.95,-0.7266,0.05354,-99
2.458,-19.88,-11.03,0.04471,1607
1.893,-20.18,-11.05,0.04429,1607
2.809,-19.69,-0.5732,0.0592,-99
1.599,-20.53,-0.9277,0.06661,-99
2.673,-20.43,-0.4772,0.05926,-99
2.666,-21.35,-0.5217,0.05343,-99
1.662,-19.49,-0.6046,0.0585,-99
2.549,-22.02,-0.4695,0.05919,-99
2.368,-19.51,-0.4122,0.05149,-99
2.136,-20.95,-1.119,0.07678,-99
1.501,-20.2,-0.9689,0.06786,-99
1.61,-20.36,-0.8956,0.06788,-99
1.93,-19.69,-0.4694,0.05126,-99
2.091,-20.2,-0.7156,0.05885,-99
1.396,-19.46,-0.3619,0.02858,704.2
2.488,-20.8,-0.2541,0.0289,704.2
1.029,-18.57,-0.2926,0.02554,704.2
1.753,-20.28,-0.8245,0.05212,-99
1.698,-19.28,-0.2066,0.02838,704.2
1.699,-20.52,-1.348,0.07115,-99
1.658,-18.46,-0.05813,0.02841,704.2
1.867,-19.5,-0.821,0.05107,-99
2.398,-20.07,-0.8203,0.05713,-99
2.469,-22.04,0.07795,0.07623,-99
1.358,-20.65,-0.712,0.07511,-99
1.407,-20.17,-0.2715,0.03748,902.6
2.374,-20.68,-0.4744,0.07627,-99
2.297,-21.1,-0.4463,0.07645,-99
2.407,-22.12,-0.338,0.07663,-99
1.192,-20.04,-0.4762,0.07623,-99
2.291,-21.28,-0.1371,0.0765,-99
2.601,-21.63,0.2583,0.07671,-99
1.098,-19.66,-0.5081,0.07634,-99
2.431,-20.97,-0.847,0.05349,-99
1.474,-19.93,-0.8839,0.0709,-99
2.597,-22.7,-0.9955,0.05839,-99
2.014,-20.44,0.3624,0.07702,-99
2.461,-21.99,-0.1396,0.07674,-99
2.41,-22.84,-0.02212,0.07629,-99
1.313,-20.33,-0.368,0.07601,-99
1.736,-20.48,-0.4001,0.07648,-99
1.675,-21.05,0.202,0.05061,-99
2.22,-20.66,-0.4284,0.07594,-99
2.212,-21.38,0.213,0.05062,-99
2.313,-21.79,-0.1163,0.07728,-99
1.469,-21.22,-0.4276,0.07587,-99
1.381,-20.09,0.3264,0.05087,-99
2.456,-20.97,-0.4255,0.07604,-99
2.113,-20.18,-0.6366,0.07507,-99
2.551,-21.86,-0.1731,0.04992,-99
2.384,-21.1,-0.4894,0.07582,-99
2.257,-22.3,-0.2841,0.04968,-99
2.303,-21.5,0.2529,0.05066,-99
